pin_prefix,states,districts
391,gujarat,"chhotaudepur, vadodara"
392,gujarat,bharuch
393,gujarat,narmada
394,gujarat,"surat, tapi, thedangs"
395,gujarat,surat
396,"dadraandnagarhavelianddamananddiu, gujarat","dadraandnagarhaveli, daman, navsari, valsad"
400,maharashtra,"mumbaicity, mumbaisuburban, thane"
401,maharashtra,"palghar, thane"
402,maharashtra,raigad
403,goa,"northgoa, southgoa"
410,maharashtra,raigad
411,maharashtra,pune
412,maharashtra,pune
413,maharashtra,"latur, osmanabad, solapur"
414,maharashtra,ahmednagar
415,maharashtra,"ratnagiri, satara"
416,maharashtra,"kolhapur, sangli, sindhudurg"
421,maharashtra,thane
422,maharashtra,nashik
424,maharashtra,dhule
425,maharashtra,"jalgaon, nandurbar"
431,maharashtra,"beed, chhatrapatisambhajinagar, hingoli, jalna, nanded, parbhani"
440,maharashtra,nagpur
441,maharashtra,"bhandara, gondia, nagpur"
442,maharashtra,"chandrapur, gadchiroli, wardha"
443,maharashtra,buldhana
444,maharashtra,"akola, amravati, washim"
445,maharashtra,yavatmal
450,madhyapradesh,"burhanpur, khandwa"
451,madhyapradesh,"barwani, khargone"
452,madhyapradesh,indore
453,madhyapradesh,indore
454,madhyapradesh,dhar
455,madhyapradesh,dewas
456,madhyapradesh,ujjain
457,madhyapradesh,"alirajpur, jhabua, ratlam"
458,madhyapradesh,"mandsaur, neemuch"
460,madhyapradesh,betul
461,madhyapradesh,"harda, narmadapuram"
462,madhyapradesh,bhopal
464,madhyapradesh,"raisen, vidisha"
465,madhyapradesh,"agarmalwa, rajgarh, shajapur"
466,madhyapradesh,sehore
470,madhyapradesh,"damoh, sagar"
471,madhyapradesh,chhatarpur
472,madhyapradesh,"niwari, tikamgarh"
473,madhyapradesh,"ashoknagar, guna, shivpuri"
474,madhyapradesh,gwalior
475,madhyapradesh,datia
476,madhyapradesh,"morena, sheopur"
477,madhyapradesh,bhind
480,madhyapradesh,"chhindwara, pandhurna, seoni"
481,madhyapradesh,"balaghat, dindori, mandla"
482,madhyapradesh,jabalpur
483,madhyapradesh,katni
484,madhyapradesh,"anuppur, shahdol, umaria"
485,madhyapradesh,"maihar, satna"
486,madhyapradesh,"mauganj, rewa, sidhi, singrauli"
487,madhyapradesh,narsinghpur
488,madhyapradesh,panna
491,chhattisgarh,"balod, bemetara, durg, kabirdham, khairagarhchhuikhadangandai, mohlamanpurambagarhchowki, rajnandgaon"
492,chhattisgarh,raipur
493,chhattisgarh,"balodabazar, dhamtari, gariaband, mahasamund"
494,chhattisgarh,"bastar, bijapur, dantewada, kanker, kondagaon, narayanpur, sukma"
495,chhattisgarh,"bilaspur, gaurelapendramarwahi, janjgirchampa, korba, mungeli, shakti"
496,chhattisgarh,"jashpur, raigarh, sarangarhbilaigarh"
497,chhattisgarh,"balrampur, korea, manendragarhchirmiribharatpur, surajpur, surguja"
500,telangana,"hyderabad, medchalmalajgiri, rangareddy"
501,telangana,vikarabad
502,telangana,"medak, sangareddy, siddipet"
503,telangana,"kamareddy, nizamabad"
504,telangana,"adilabad, komarambheem, mancherial, nirmal"
505,telangana,"hanumakonda, jagtial, karimnagar, peddapalli, rajannasircilla"
506,telangana,"jangaon, jayashankarbhupalpally, mahabubabad, mulugu, warangal"
507,telangana,"bhadradrikothagudem, khammam"
508,telangana,"nalgonda, suryapet, yadadri"
509,telangana,"jogulamba, mahabubnagar, nagarkurnool, narayanpet, wanaparthy"
515,andhrapradesh,anantapur
516,andhrapradesh,"annamayya, ysrkadapa"
517,andhrapradesh,"chittoor, tirupati"
518,andhrapradesh,"kurnool, nandyal"
521,andhrapradesh,krishna
522,andhrapradesh,"bapatla, guntur, palnadu"
523,andhrapradesh,prakasham
524,andhrapradesh,nellore
530,andhrapradesh,visakhapatnam
531,andhrapradesh,"allurisitharamaraju, anakapalli"
532,andhrapradesh,srikakulam
533,"andhrapradesh, puducherry","eastgodavari, kakinada, konaseema, yanam"
534,andhrapradesh,"eluru, westgodavari"
535,andhrapradesh,"manyamsitaramaraju, parvathipurammanyam, vizianagaram"
560,karnataka,bengaluruurban
562,karnataka,"bengalururural, chikkaballapur, ramanagara"
563,karnataka,kolar
570,karnataka,mysuru
571,karnataka,"chamarajanagar, kodagu, mandya"
572,karnataka,tumakuru
573,karnataka,hassan
575,karnataka,dakshinakannada
576,karnataka,udupi
577,karnataka,"chikkamagaluru, chitradurga, davanagere, shivamogga"
580,karnataka,dharwad
581,karnataka,"haveri, uttarakannada"
582,karnataka,gadag
583,karnataka,"ballari, koppal, vijayanagara"
584,karnataka,raichur
585,karnataka,"bidar, kalaburagi, yadgir"
587,karnataka,bagalkot
590,karnataka,belagavi
600,tamilnadu,chennai
602,tamilnadu,tiruvallur
603,tamilnadu,chengalpattu
605,"puducherry, tamilnadu","puducherry, viluppuram"
606,tamilnadu,"kallakurichi, tiruvannamalai"
607,tamilnadu,cuddalore
609,"puducherry, tamilnadu","karaikal, mayiladuthurai"
610,tamilnadu,tiruvarur
611,tamilnadu,nagapattinam
613,tamilnadu,thanjavur
620,tamilnadu,tiruchirappalli
621,tamilnadu,"ariyalur, perambalur"
622,tamilnadu,pudukkottai
623,tamilnadu,ramanathapuram
624,tamilnadu,dindigul
625,tamilnadu,"madurai, theni"
626,tamilnadu,virudhunagar
627,tamilnadu,"tenkasi, tirunelveli"
628,tamilnadu,thoothukudi
629,tamilnadu,kanyakumari
630,tamilnadu,sivaganga
631,tamilnadu,kanchipuram
632,tamilnadu,"ranipet, vellore"
635,tamilnadu,"krishnagiri, tirupathur"
636,tamilnadu,"dharmapuri, salem"
637,tamilnadu,namakkal
638,tamilnadu,erode
639,tamilnadu,karur
641,tamilnadu,"coimbatore, tiruppur"
643,tamilnadu,nilgiris
670,kerala,kannur
671,kerala,kasaragod
673,"kerala, puducherry","kozhikode, mahe, wayanad"
676,kerala,malappuram
678,kerala,palakkad
680,kerala,thrissur
682,"kerala, lakshadweep","ernakulam, lakshadweep"
685,kerala,idukki
686,kerala,kottayam
688,kerala,alappuzha
689,kerala,pathanamthitta
691,kerala,kollam
695,kerala,thiruvananthapuram
700,westbengal,kolkata
711,westbengal,howrah
