state,district,level,name,type,total_population,total_population_males,total_population_females,population_06,population_literate,population_illiterate,total_workers,total_workers_males,total_workers_females,non_workers
1,18,district,kishtwar,urban,14865,8179,6686,1627,11394,3471,4878,4139,739,9987
19,329,district,kochbihar,total,2819086,1451542,1367544,344645,1850504,968582,1127977,845308,282669,1691109
19,329,district,kochbihar,rural,2529652,1304916,1224736,319225,1617223,912429,1024717,762301,262416,1504935
19,329,district,kochbihar,urban,289434,146626,142808,25420,233281,56153,103260,83007,20253,186174
29,576,district,kodagu,total,554519,274608,279911,54733,412877,141642,278938,172100,106838,275581
29,576,district,kodagu,rural,473531,234161,239370,46781,346061,127470,246044,148216,97828,227487
29,576,district,kodagu,urban,80988,40447,40541,7952,66816,14172,32894,23884,9010,48094
20,348,district,kodarma,total,716259,367222,349037,132375,390249,326010,257418,173993,83425,458841
20,348,district,kodarma,rural,575013,293595,281418,110025,296147,278866,218326,139982,78344,356687
20,348,district,kodarma,urban,141246,73627,67619,22350,94102,47144,39092,34011,5081,102154
13,270,district,kohima,total,267988,138966,129022,36286,197489,70499,114825,68140,46685,153163
13,270,district,kohima,rural,146900,76369,70531,21211,101984,44916,71818,39590,32228,75082
13,270,district,kohima,urban,121088,62597,58491,15075,95505,25583,43007,28550,14457,78081
18,300,district,kokrajhar,total,887142,452905,434237,136924,489305,397837,341131,236322,104809,546011
18,300,district,kokrajhar,rural,832201,424446,407755,131397,445890,386311,319983,219728,100255,512218
18,300,district,kokrajhar,urban,54941,28459,26482,5527,43415,11526,21148,16594,4554,33793
29,581,district,kolar,total,1536401,776396,760005,170423,1016219,520182,717872,454048,263824,818529
29,581,district,kolar,rural,1056328,535431,520897,116231,649421,406907,545094,323441,221653,511234
29,581,district,kolar,urban,480073,240965,239108,54192,366798,113275,172778,130607,42171,307295
15,282,district,kolasib,total,83955,42918,41037,13482,65895,18060,36672,22733,13939,47283
15,282,district,kolasib,rural,37077,19097,17980,6681,27270,9807,17701,10537,7164,19376
15,282,district,kolasib,urban,46878,23821,23057,6801,38625,8253,18971,12196,6775,27907
27,530,district,kolhapur,total,3876001,1980658,1895343,408942,2825845,1050156,1704054,1125204,578850,2171947
27,530,district,kolhapur,rural,2645992,1348815,1297177,279956,1853869,792123,1267257,779259,487998,1378735
27,530,district,kolhapur,urban,1230009,631843,598166,128986,971976,258033,436797,345945,90852,793212
19,342,district,kolkata,total,4496694,2356766,2139928,339323,3588137,908557,1795740,1412466,383274,2700954
19,342,district,kolkata,rural,0,0,0,0,0,0,0,0,0,0
19,342,district,kolkata,urban,4496694,2356766,2139928,339323,3588137,908557,1795740,1412466,383274,2700954
32,600,district,kollam,total,2635375,1246968,1388407,254260,2240273,395102,912025,644362,267663,1723350
32,600,district,kollam,rural,1448217,680687,767530,137559,1233362,214855,512817,354505,158312,935400
32,600,district,kollam,urban,1187158,566281,620877,116701,1006911,180247,399208,289857,109351,787950
29,560,district,koppal,total,1389920,699926,689994,201654,809085,580835,654766,387974,266792,735154
29,560,district,koppal,rural,1156216,582958,573258,170550,651001,505215,567783,323887,243896,588433
29,560,district,koppal,urban,233704,116968,116736,31104,158084,75620,86983,64087,22896,146721
21,398,district,koraput,total,1379647,678809,700838,225126,568090,811557,693406,384053,309353,686241
21,398,district,koraput,rural,1153478,563771,589707,199037,404425,749053,610613,321390,289223,542865
21,398,district,koraput,urban,226169,115038,111131,26089,163665,62504,82793,62663,20130,143376
22,404,district,korba,total,1206640,612915,593725,172016,748759,457881,521186,333329,187857,685454
22,404,district,korba,rural,760350,381424,378926,115442,422750,337600,374649,213847,160802,385701
22,404,district,korba,urban,446290,231491,214799,56574,326009,120281,146537,119482,27055,299753
22,400,district,koriya,total,658917,334737,324180,95784,397823,261094,307071,185483,121588,351846
22,400,district,koriya,rural,453618,228338,225280,72914,249156,204462,245974,134666,111308,207644
22,400,district,koriya,urban,205299,106399,98900,22870,148667,56632,61097,50817,10280,144202
8,127,district,kota,total,1951014,1021161,929853,255056,1298345,652669,748811,534650,214161,1202203
8,127,district,kota,rural,774410,401331,373079,108851,456380,318030,357320,215974,141346,417090
8,127,district,kota,urban,1176604,619830,556774,146205,841965,334639,391491,318676,72815,785113
32,597,district,kottayam,total,1974551,968289,1006262,174486,1749798,224753,735735,530322,205413,1238816
32,597,district,kottayam,rural,1409158,692673,716485,125143,1246775,162383,539176,385395,153781,869982
32,597,district,kottayam,urban,565393,275616,289777,49343,503023,62370,196559,144927,51632,368834
32,591,district,kozhikode,total,3086293,1470942,1615351,335645,2615443,470850,948981,752333,196648,2137312
32,591,district,kozhikode,rural,1013721,484784,528937,114602,849378,164343,316246,244553,71693,697475
32,591,district,kozhikode,urban,2072572,986158,1086414,221043,1766065,306507,632735,507780,124955,1439837
28,547,district,krishna,total,4517398,2267375,2250023,435884,3009718,1507680,2048880,1327299,721581,2468518
28,547,district,krishna,rural,2673738,1343534,1330204,258921,1657592,1016146,1363685,811600,552085,1310053
28,547,district,krishna,urban,1843660,923841,919819,176963,1352126,491534,685195,515699,169496,1158465
33,631,district,krishnagiri,total,1879809,960232,919577,217323,1187958,691851,877779,561634,316145,1002030
33,631,district,krishnagiri,rural,1451446,742444,709002,166231,865259,586187,715139,437314,277825,736307
33,631,district,krishnagiri,urban,428363,217788,210575,51092,322699,105664,162640,124320,38320,265723
1,15,district,kulgam,total,424483,217620,206863,71501,209085,215398,159990,102317,57673,264493
1,15,district,kulgam,rural,343870,175574,168296,59762,163112,180758,126937,81406,45531,216933
1,15,district,kulgam,urban,80613,42046,38567,11739,45973,34640,33053,20911,12142,47560
2,26,district,kullu,total,437903,225452,212451,50431,307672,130231,269084,148829,120255,168819
2,26,district,kullu,rural,396512,203269,193243,46400,274741,121771,252150,136089,116061,144362
2,26,district,kullu,urban,41391,22183,19208,4031,32931,8460,16934,12740,4194,24457
1,1,district,kupwara,total,870354,474190,396164,188798,439654,430700,229064,190899,38165,641290
1,1,district,kupwara,rural,765625,412038,353587,169588,374998,390627,195993,161992,34001,569632
1,1,district,kupwara,urban,104729,62152,42577,19210,64656,40073,33071,28907,4164,71658
28,552,district,kurnool,total,4053463,2039227,2014236,506239,2127161,1926302,2029425,1164122,865303,2024038
28,552,district,kurnool,rural,2904177,1464569,1439608,373171,1390459,1513718,1582128,853435,728693,1322049
28,552,district,kurnool,urban,1149286,574658,574628,133068,736702,412584,447297,310687,136610,701989
6,72,district,kurukshetra,total,964655,510976,453679,116957,646893,317762,336780,268556,68224,627875
6,72,district,kurukshetra,rural,685430,361020,324410,86773,437671,247759,247273,193793,53480,438157
6,72,district,kurukshetra,urban,279225,149956,129269,30184,209222,70003,89507,74763,14744,189718
12,256,district,kurungkumey,total,92076,45318,46758,16988,36606,55470,38044,18429,19615,54032
12,256,district,kurungkumey,rural,89731,44072,45659,16525,35299,54432,37252,17884,19368,52479
12,256,district,kurungkumey,urban,2345,1246,1099,463,1307,1038,792,545,247,1553
9,189,district,kushinagar,total,3564544,1818055,1746489,568581,1954820,1609724,1116973,804857,312116,2447571
9,189,district,kushinagar,rural,3396437,1730377,1666060,546023,1845751,1550686,1071498,766424,305074,2324939
9,189,district,kushinagar,urban,168107,87678,80429,22558,109069,59038,45475,38433,7042,122632
2,25,district,lahulspiti,total,31564,16588,14976,3125,21845,9719,19295,10763,8532,12269
2,25,district,lahulspiti,rural,31564,16588,14976,3125,21845,9719,19295,10763,8532,12269
2,25,district,lahulspiti,urban,0,0,0,0,0,0,0,0,0,0
18,307,district,lakhimpur,total,1042137,529674,512463,156739,683486,358651,429995,282250,147745,612142
18,307,district,lakhimpur,rural,950804,482582,468222,146289,613176,337628,396551,256193,140358,554253
18,307,district,lakhimpur,urban,91333,47092,44241,10450,70310,21023,33444,26057,7387,57889
10,227,district,lakhisarai,total,1000912,526345,474567,188214,507270,493642,326576,240494,86082,674336
10,227,district,lakhisarai,rural,857901,450863,407038,163867,422622,435279,284161,205517,78644,573740
10,227,district,lakhisarai,urban,143011,75482,67529,24347,84648,58363,42415,34977,7438,100596
31,0,state,lakshadweep,total,64473,33123,31350,7255,52553,11920,18753,15318,3435,45720
31,0,state,lakshadweep,rural,14141,7243,6898,1815,11288,2853,4653,3787,866,9488
31,0,state,lakshadweep,urban,50332,25880,24452,5440,41265,9067,14100,11531,2569,36232
31,587,district,lakshadweep,total,64473,33123,31350,7255,52553,11920,18753,15318,3435,45720
31,587,district,lakshadweep,rural,14141,7243,6898,1815,11288,2853,4653,3787,866,9488
31,587,district,lakshadweep,urban,50332,25880,24452,5440,41265,9067,14100,11531,2569,36232
9,167,district,lalitpur,total,1221592,641011,580581,212205,641191,580401,503351,326783,176568,718241
9,167,district,lalitpur,rural,1046214,549478,496736,189277,517428,528786,446189,281259,164930,600025
9,167,district,lalitpur,urban,175378,91533,83845,22928,123763,51615,57162,45524,11638,118216
20,359,district,latehar,total,726978,369666,357312,137699,350682,376296,313379,180106,133273,413599
20,359,district,latehar,rural,675120,342566,332554,129917,316158,358962,297714,167670,130044,377406
20,359,district,latehar,urban,51858,27100,24758,7782,34524,17334,15665,12436,3229,36193
27,524,district,latur,total,2454196,1273140,1181056,317811,1650672,803524,1046857,670018,376839,1407339
27,524,district,latur,rural,1829216,949707,879509,238335,1194845,634371,857367,517448,339919,971849
27,524,district,latur,urban,624980,323433,301547,79476,455827,169153,189490,152570,36920,435490
15,287,district,lawngtlai,total,117894,60599,57295,22483,62861,55033,45566,28517,17049,72328
15,287,district,lawngtlai,rural,97064,49940,47124,19361,45922,51142,38869,23826,15043,58195
15,287,district,lawngtlai,urban,20830,10659,10171,3122,16939,3891,6697,4691,2006,14133
36,3,district,leh,total,133487,78971,54516,12016,93770,39717,75079,53265,21814,58408
36,3,district,leh,rural,87816,48411,39405,9053,56789,31027,48381,30929,17452,39435
36,3,district,leh,urban,45671,30560,15111,2963,36981,8690,26698,22336,4362,18973
20,356,district,lohardaga,total,461790,232629,229161,77649,259707,202083,221332,121605,99727,240458
20,356,district,lohardaga,rural,404379,203255,201124,69791,217404,186975,204297,108219,96078,200082
20,356,district,lohardaga,urban,57411,29374,28037,7858,42303,15108,17035,13386,3649,40376
12,259,district,lohit,total,145726,76221,69505,23901,83062,62664,60945,38910,22035,84781
12,259,district,lohit,rural,113296,58991,54305,19699,60252,53044,49903,30134,19769,63393
12,259,district,lohit,urban,32430,17230,15200,4202,22810,9620,11042,8776,2266,21388
13,268,district,longleng,total,50484,26502,23982,9110,29859,20625,30568,16273,14295,19916
13,268,district,longleng,rural,42871,22511,20360,7884,24018,18853,27677,14450,13227,15194
13,268,district,longleng,urban,7613,3991,3622,1226,5841,1772,2891,1823,1068,4722
12,258,district,lowerdibangvalley,total,54080,28053,26027,8009,31849,22231,22326,14102,8224,31754
12,258,district,lowerdibangvalley,rural,42691,21989,20702,6852,22805,19886,18502,11018,7484,24189
12,258,district,lowerdibangvalley,urban,11389,6064,5325,1157,9044,2345,3824,3084,740,7565
12,255,district,lowersubansiri,total,83030,41843,41187,10320,54057,28973,30202,17339,12863,52828
12,255,district,lowersubansiri,rural,70224,35460,34764,8890,44328,25896,25684,14305,11379,44540
12,255,district,lowersubansiri,urban,12806,6383,6423,1430,9729,3077,4518,3034,1484,8288
9,157,district,lucknow,total,4589838,2394476,2195362,543641,3127260,1462578,1542806,1226399,316407,3047032
9,157,district,lucknow,rural,1550842,813752,737090,222592,900857,649985,522160,406161,115999,1028682
9,157,district,lucknow,urban,3038996,1580724,1458272,321049,2226403,812593,1020646,820238,200408,2018350
3,41,district,ludhiana,total,3498739,1867816,1630923,384114,2560225,938514,1284822,1053600,231222,2213917
3,41,district,ludhiana,rural,1429031,753444,675587,148970,1002069,426962,530823,420775,110048,898208
3,41,district,ludhiana,urban,2069708,1114372,955336,235144,1558156,511552,753999,632825,121174,1315709
15,286,district,lunglei,total,161428,82891,78537,25117,121122,40306,78292,46230,32062,83136
15,286,district,lunglei,rural,92676,47577,45099,16705,62114,30562,50140,27551,22589,42536
15,286,district,lunglei,urban,68752,35314,33438,8412,59008,9744,28152,18679,9473,40600
10,213,district,madhepura,total,2001762,1047559,954203,404576,834577,1167185,777546,496046,281500,1224216
10,213,district,madhepura,rural,1913301,1000760,912541,390262,780081,1133220,751072,475139,275933,1162229
10,213,district,madhepura,urban,88461,46799,41662,14314,54496,33965,26474,20907,5567,61987
10,207,district,madhubani,total,4487379,2329313,2158066,810479,2155338,2332041,1636938,1105947,530991,2850441
10,207,district,madhubani,rural,4325884,2244287,2081597,784704,2058895,2266989,1587140,1066954,520186,2738744
10,207,district,madhubani,urban,161495,85026,76469,25775,96443,65052,49798,38993,10805,111697
23,0,state,madhyapradesh,total,72626809,37612306,35014503,10809395,42851169,29775640,31574133,20146970,11427163,41052676
23,0,state,madhyapradesh,rural,52557404,27149388,25408016,8325731,28281986,24275418,24715198,14741977,9973221,27842206
23,0,state,madhyapradesh,urban,20069405,10462918,9606487,2483664,14569183,5500222,6858935,5404993,1453942,13210470
33,623,district,madurai,total,3038252,1526475,1511777,313978,2273430,764822,1354632,902704,451928,1683620
33,623,district,madurai,rural,1191451,601247,590204,128452,788090,403361,627737,361002,266735,563714
33,623,district,madurai,urban,1846801,925228,921573,185526,1485340,361461,726895,541702,185193,1119906
9,144,district,mahamayanagar,total,1564708,836127,728581,248106,942572,622136,484115,398126,85989,1080593
9,144,district,mahamayanagar,rural,1232015,659814,572201,200176,737968,494047,388036,314103,73933,843979
9,144,district,mahamayanagar,urban,332693,176313,156380,47930,204604,128089,96079,84023,12056,236614
27,0,state,maharashtra,total,112374333,58243056,54131277,13326517,81554290,30820043,49427878,32616875,16811003,62946455
27,0,state,maharashtra,rural,61556074,31539034,30017040,7688954,41482761,20073313,30650871,17887071,12763800,30905203
27,0,state,maharashtra,urban,50818259,26704022,24114237,5637563,40071529,10746730,18777007,14729804,4047203,32041252
22,411,district,mahasamund,total,1032754,511967,520787,134448,637963,394791,499260,291858,207402,533494
22,411,district,mahasamund,rural,912602,451691,460911,119269,552067,360535,455388,259109,196279,457214
22,411,district,mahasamund,urban,120152,60276,59876,15179,85896,34256,43872,32749,11123,76280
28,538,district,mahbubnagar,total,4053028,2050386,2002642,527230,1940646,2112382,2082501,1140067,942434,1970527
28,538,district,mahbubnagar,rural,3445336,1742438,1702898,456796,1521778,1923558,1855769,983274,872495,1589567
28,538,district,mahbubnagar,urban,607692,307948,299744,70434,418868,188824,226732,156793,69939,380960
34,636,district,mahe,total,41816,19143,22673,4553,36470,5346,11802,9093,2709,30014
34,636,district,mahe,rural,0,0,0,0,0,0,0,0,0,0
34,636,district,mahe,urban,41816,19143,22673,4553,36470,5346,11802,9093,2709,30014
6,84,district,mahendragarh,total,922088,486665,435423,111181,630255,291833,338584,232935,105649,583504
6,84,district,mahendragarh,rural,789233,416358,372875,95381,533442,255791,297964,198752,99212,491269
6,84,district,mahendragarh,urban,132855,70307,62548,15800,96813,36042,40620,34183,6437,92235
24,471,district,mahesana,total,2035064,1056520,978544,237932,1502645,532419,812064,588699,223365,1223000
24,471,district,mahesana,rural,1520734,787175,733559,183974,1095809,424925,639538,443788,195750,881196
24,471,district,mahesana,urban,514330,269345,244985,53958,406836,107494,172526,144911,27615,341804
9,169,district,mahoba,total,875958,466358,409600,128129,488106,387852,349676,237153,112523,526282
9,169,district,mahoba,rural,690577,368009,322568,103678,369716,320861,293713,191171,102542,396864
9,169,district,mahoba,urban,185381,98349,87032,24451,118390,66991,55963,45982,9981,129418
9,187,district,mahrajganj,total,2684703,1381754,1302949,423537,1419144,1265559,994253,659465,334788,1690450
9,187,district,mahrajganj,rural,2549973,1312126,1237847,406291,1327176,1222797,956451,627651,328800,1593522
9,187,district,mahrajganj,urban,134730,69628,65102,17246,91968,42762,37802,31814,5988,96928
9,148,district,mainpuri,total,1868529,993377,875152,284349,1203885,664644,560840,466067,94773,1307689
9,148,district,mainpuri,rural,1580087,842374,737713,245383,1005932,574155,483521,398997,84524,1096566
9,148,district,mainpuri,urban,288442,151003,137439,38966,197953,90489,77319,67070,10249,211123
32,592,district,malappuram,total,4112920,1960328,2152592,574041,3311315,801605,1062424,898157,164267,3050496
32,592,district,malappuram,rural,2295709,1095308,1200401,320051,1838508,457201,613162,509684,103478,1682547
32,592,district,malappuram,urban,1817211,865020,952191,253990,1472807,344404,449262,388473,60789,1367949
19,332,district,maldah,total,3988845,2051541,1937304,609040,2086432,1902413,1537847,1086461,451386,2450998
19,332,district,maldah,rural,3447185,1768336,1678849,530626,1731677,1715508,1333762,936246,397516,2113423
19,332,district,maldah,urban,541660,283205,258455,78414,354755,186905,204085,150215,53870,337575
21,399,district,malkangiri,total,613192,303624,309568,109092,244706,368486,310666,170495,140171,302526
21,399,district,malkangiri,rural,563664,277901,285763,102265,212881,350783,291472,156227,135245,272192
21,399,district,malkangiri,urban,49528,25723,23805,6827,31825,17703,19194,14268,4926,30334
15,281,district,mamit,total,86364,44828,41536,15495,60191,26173,39339,24016,15323,47025
15,281,district,mamit,rural,71465,37135,34330,13192,48174,23291,33160,19915,13245,38305
15,281,district,mamit,urban,14899,7693,7206,2303,12017,2882,6179,4101,2078,8720
2,27,district,mandi,total,999777,498065,501712,112074,723747,276030,572671,297464,275207,427106
2,27,district,mandi,rural,937140,466050,471090,106402,671588,265552,549714,280944,268770,387426
2,27,district,mandi,urban,62637,32015,30622,5672,52159,10478,22957,16520,6437,39680
23,454,district,mandla,total,1054905,525272,529633,150263,604962,449943,559649,300235,259414,495256
23,454,district,mandla,rural,924716,459151,465565,136223,503725,420991,512510,265791,246719,412206
23,454,district,mandla,urban,130189,66121,64068,14040,101237,28952,47139,34444,12695,83050
23,433,district,mandsaur,total,1340411,682851,657560,177659,834591,505820,679723,397714,282009,660688
23,433,district,mandsaur,rural,1062807,540987,521820,144814,629734,433073,578136,319447,258689,484671
23,433,district,mandsaur,urban,277604,141864,135740,32845,204857,72747,101587,78267,23320,176017
29,573,district,mandya,total,1805769,905085,900684,172685,1149649,656120,871408,575203,296205,934361
29,573,district,mandya,rural,1497407,751243,746164,141058,919289,578118,749665,484296,265369,747742
29,573,district,mandya,urban,308362,153842,154520,31627,230360,78002,121743,90907,30836,186619
14,0,state,manipur,total,2855794,1438586,1417208,375357,1908476,947318,1304610,739408,565202,1551184
14,0,state,manipur,rural,2021640,1026884,994756,273946,1282859,738781,959161,534085,425076,1062479
14,0,state,manipur,urban,834154,411702,422452,101411,625617,208537,345449,205323,140126,488705
3,47,district,mansa,total,769751,408732,361019,84763,423560,346191,328512,230739,97773,441239
3,47,district,mansa,rural,606147,322184,283963,66799,313244,292903,270272,183777,86495,335875
3,47,district,mansa,urban,163604,86548,77056,17964,110316,53288,58240,46962,11278,105364
9,145,district,mathura,total,2547184,1367125,1180059,404276,1507746,1039438,840939,635142,205797,1706245
9,145,district,mathura,rural,1791191,962028,829163,301131,1021669,769522,615471,442603,172868,1175720
9,145,district,mathura,urban,755993,405097,350896,103145,486077,269916,225468,192539,32929,530525
9,192,district,mau,total,2205968,1114709,1091259,341182,1363044,842924,696747,475413,221334,1509221
9,192,district,mau,rural,1706760,858843,847917,264234,1035752,671008,532998,360529,172469,1173762
9,192,district,mau,urban,499208,255866,243342,76948,327292,171916,163749,114884,48865,335459
21,376,district,mayurbhanj,total,2519738,1256213,1263525,351834,1369397,1150341,1223534,697782,525752,1296204
21,376,district,mayurbhanj,rural,2326842,1157576,1169266,332377,1220428,1106414,1156323,645756,510567,1170519
21,376,district,mayurbhanj,urban,192896,98637,94259,19457,148969,43927,67211,52026,15185,125685
28,535,district,medak,total,3033288,1523030,1510258,367603,1637137,1396151,1442203,837874,604329,1591085
28,535,district,medak,rural,2305417,1152806,1152611,279477,1134489,1170928,1173399,640088,533311,1132018
28,535,district,medak,urban,727871,370224,357647,88126,502648,225223,268804,197786,71018,459067
9,138,district,meerut,total,3443689,1825743,1617946,503719,2141488,1302201,1090539,898810,191729,2353150
9,138,district,meerut,rural,1684507,894920,789587,267252,1002668,681839,543366,435196,108170,1141141
9,138,district,meerut,urban,1759182,930823,828359,236467,1138820,620362,547173,463614,83559,1212009
17,0,state,meghalaya,total,2966889,1491832,1475057,568536,1785005,1181884,1185619,703709,481910,1781270
17,0,state,meghalaya,rural,2371439,1194260,1177179,490592,1315154,1056285,973458,561812,411646,1397981
17,0,state,meghalaya,urban,595450,297572,297878,77944,469851,125599,212161,141897,70264,383289
6,87,district,mewat,total,1089263,571162,518101,248128,454897,634366,289964,224642,65322,799299
6,87,district,mewat,rural,965157,506086,459071,225069,384749,580408,258721,197097,61624,706436
6,87,district,mewat,urban,124106,65076,59030,23059,70148,53958,31243,27545,3698,92863
9,199,district,mirzapur,total,2496970,1312302,1184668,410621,1428683,1068287,881996,613061,268935,1614974
9,199,district,mirzapur,rural,2149403,1127138,1022265,363765,1201584,947819,769422,523902,245520,1379981
9,199,district,mirzapur,urban,347567,185164,162403,46856,227099,120468,112574,89159,23415,234993
15,0,state,mizoram,total,1097206,555339,541867,168531,848175,249031,486705,290740,195965,610501
15,0,state,mizoram,rural,525435,269135,256300,93384,363334,162101,252382,145091,107291,273053
15,0,state,mizoram,urban,571771,286204,285567,75147,484841,86930,234323,145649,88674,337448
3,42,district,moga,total,995746,525920,469826,107336,627889,367857,359172,292379,66793,636574
3,42,district,moga,rural,768500,405704,362796,82614,468003,300497,274588,224933,49655,493912
3,42,district,moga,urban,227246,120216,107030,24722,159886,67360,84584,67446,17138,142662
13,262,district,mokokchung,total,194622,101092,93530,20536,159494,35128,100067,57084,42983,94555
13,262,district,mokokchung,rural,138897,71373,67524,14907,112611,26286,78030,42235,35795,60867
13,262,district,mokokchung,urban,55725,29719,26006,5629,46883,8842,22037,14849,7188,33688
13,261,district,mon,total,250260,131753,118507,40342,119626,130634,147654,79425,68229,102606
13,261,district,mon,rural,215816,113469,102347,35132,94931,120885,134666,71272,63394,81150
13,261,district,mon,urban,34444,18284,16160,5210,24695,9749,12988,8153,4835,21456
9,135,district,moradabad,total,4772006,2503186,2268820,784219,2263848,2508158,1417811,1193439,224372,3354195
9,135,district,moradabad,rural,3198383,1680022,1518361,562904,1407142,1791241,950534,786552,163982,2247849
9,135,district,moradabad,urban,1573623,823164,750459,221315,856706,716917,467277,406887,60390,1106346
23,419,district,morena,total,1965970,1068417,897553,305156,1179685,786285,675993,525329,150664,1289977
23,419,district,morena,rural,1495508,815218,680290,239309,865686,629822,546873,408937,137936,948635
23,419,district,morena,urban,470462,253199,217263,65847,313999,156463,129120,116392,12728,341342
18,304,district,morigaon,total,957423,486651,470772,163819,539902,417521,351148,257984,93164,606275
18,304,district,morigaon,rural,884125,449123,435002,155116,485530,398595,326204,237170,89034,557921
18,304,district,morigaon,urban,73298,37528,35770,8703,54372,18926,24944,20814,4130,48354
3,44,district,muktsar,total,901896,475622,426274,104419,524848,377048,335326,272699,62627,566570
3,44,district,muktsar,rural,649705,342202,307503,74581,355161,294544,248437,198926,49511,401268
3,44,district,muktsar,urban,252191,133420,118771,29838,169687,82504,86889,73773,13116,165302
27,519,district,mumbai,total,3085411,1684608,1400803,272886,2509022,576389,1284396,1021009,263387,1801015
27,519,district,mumbai,rural,0,0,0,0,0,0,0,0,0,0
27,519,district,mumbai,urban,3085411,1684608,1400803,272886,2509022,576389,1284396,1021009,263387,1801015
27,518,district,mumbaisuburban,total,9356962,5031323,4325639,930884,7575485,1781477,3735021,2944322,790699,5621941
27,518,district,mumbaisuburban,rural,0,0,0,0,0,0,0,0,0,0
27,518,district,mumbaisuburban,urban,9356962,5031323,4325639,930884,7575485,1781477,3735021,2944322,790699,5621941
10,226,district,munger,total,1367765,729041,638724,229860,801817,565948,426658,327453,99205,941107
10,226,district,munger,rural,987645,527299,460346,176627,537021,450624,325188,239502,85686,662457
10,226,district,munger,urban,380120,201742,178378,53233,264796,115324,101470,87951,13519,278650
19,333,district,murshidabad,total,7103807,3627564,3476243,1013392,4055834,3047973,2589907,1985667,604240,4513900
19,333,district,murshidabad,rural,5703115,2917822,2785293,812960,3193502,2509613,2007805,1612525,395280,3695310
19,333,district,murshidabad,urban,1400692,709742,690950,200432,862332,538360,582102,373142,208960,818590
9,133,district,muzaffarnagar,total,4143512,2193434,1950078,646062,2417339,1726173,1291644,1081569,210075,2851868
9,133,district,muzaffarnagar,rural,2952200,1565004,1387196,471375,1695394,1256806,943456,772062,171394,2008744
9,133,district,muzaffarnagar,urban,1191312,628430,562882,174687,721945,469367,348188,309507,38681,843124
10,216,district,muzaffarpur,total,4801062,2527497,2273565,845335,2509232,2291830,1547586,1195308,352278,3253476
10,216,district,muzaffarpur,rural,4327625,2276812,2050813,781937,2180423,2147202,1404427,1078509,325918,2923198
10,216,district,muzaffarpur,urban,473437,250685,222752,63398,328809,144628,143159,116799,26360,330278
29,577,district,mysore,total,3001127,1511600,1489527,305561,1962180,1038947,1314268,921803,392465,1686859
29,577,district,mysore,rural,1755714,887500,868214,184028,994670,761044,840952,561172,279780,914762
29,577,district,mysore,urban,1245413,624100,621313,121533,967510,277903,473316,360631,112685,772097
21,397,district,nabarangapur,total,1220946,604812,616134,207911,470379,750567,610906,342641,268265,610040
21,397,district,nabarangapur,rural,1133321,560771,572550,197140,410535,722786,577172,318432,258740,556149
21,397,district,nabarangapur,urban,87625,44041,43584,10771,59844,27781,33734,24209,9525,53891
19,336,district,nadia,total,5167600,2653768,2513832,525180,3480555,1687045,1842607,1554090,288517,3324993
19,336,district,nadia,rural,3728727,1921112,1807615,406080,2354086,1374641,1290602,1121300,169302,2438125
19,336,district,nadia,urban,1438873,732656,706217,119100,1126469,312404,552005,432790,119215,886868
13,0,state,nagaland,total,1978502,1024649,953853,291071,1342434,636068,974122,547357,426765,1004380
13,0,state,nagaland,rural,1407536,725472,682064,217482,896663,510873,760360,403912,356448,647176
13,0,state,nagaland,urban,570966,299177,271789,73589,445771,125195,213762,143445,70317,357204
18,305,district,nagaon,total,2823768,1439112,1384656,459940,1710716,1113052,979998,766728,213270,1843770
18,305,district,nagaon,rural,2454234,1250985,1203249,420813,1422500,1031734,849405,658169,191236,1604829
18,305,district,nagaon,urban,369534,188127,181407,39127,288216,81318,130593,108559,22034,238941
33,618,district,nagapattinam,total,1616450,798127,818323,165245,1213008,403442,671994,461174,210820,944456
33,618,district,nagapattinam,rural,1251826,619369,632457,127738,921786,330040,545514,361908,183606,706312
33,618,district,nagapattinam,urban,364624,178758,185866,37507,291222,73402,126480,99266,27214,238144
8,112,district,nagaur,total,3307743,1696325,1611418,507176,1758624,1549119,1425882,857031,568851,1881861
8,112,district,nagaur,rural,2670539,1368771,1301768,412432,1375421,1295118,1238230,699041,539189,1432309
8,112,district,nagaur,urban,637204,327554,309650,94744,383203,254001,187652,157990,29662,449552
27,505,district,nagpur,total,4653570,2384975,2268595,497087,3673808,979762,1868560,1334211,534349,2785010
27,505,district,nagpur,rural,1474811,758357,716454,164963,1072979,401832,747999,456023,291976,726812
27,505,district,nagpur,urban,3178759,1626618,1552141,332124,2600829,577930,1120561,878188,242373,2058198
5,66,district,nainital,total,954605,493666,460939,124272,696500,258105,376181,256935,119246,578424
5,66,district,nainital,rural,582871,299257,283614,79212,417970,164901,258651,157816,100835,324220
5,66,district,nainital,urban,371734,194409,177325,45060,278530,93204,117530,99119,18411,254204
10,229,district,nalanda,total,2877653,1497060,1380593,518681,1519933,1357720,1045420,703405,342015,1832233
10,229,district,nalanda,rural,2419759,1257728,1162031,446213,1232191,1187568,912734,598681,314053,1507025
10,229,district,nalanda,urban,457894,239332,218562,72468,287742,170152,132686,104724,27962,325208
18,323,district,nalbari,total,771639,396006,375633,95333,531771,239868,267623,210202,57421,504016
18,323,district,nalbari,rural,688909,353677,335232,87759,464211,224698,240489,187614,52875,448420
