state,district,level,name,type,total_population,total_population_males,total_population_females,population_06,population_literate,population_illiterate,total_workers,total_workers_males,total_workers_females,non_workers
24,488,district,bharuch,rural,1026060,529393,496667,121510,705458,320602,447185,315191,131994,578875
24,488,district,bharuch,urban,524959,276314,248645,57593,412818,112141,179939,153728,26211,345020
24,481,district,bhavnagar,total,2880365,1490201,1390164,381470,1887255,993110,1150632,838781,311851,1729733
24,481,district,bhavnagar,rural,1697964,868833,829131,241228,1029936,668028,734033,486644,247389,963931
24,481,district,bhavnagar,urban,1182401,621368,561033,140242,857319,325082,416599,352137,64462,765802
8,122,district,bhilwara,total,2408523,1220736,1187787,361683,1256126,1152397,1148165,674589,473576,1260358
8,122,district,bhilwara,rural,1895869,955378,940491,294132,896937,998932,966466,531307,435159,929403
8,122,district,bhilwara,urban,512654,265358,247296,67551,359189,153465,181699,143282,38417,330955
23,420,district,bhind,total,1703005,926843,776162,248230,1094917,608088,520768,455775,64993,1182237
23,420,district,bhind,rural,1270083,694756,575327,189328,800035,470048,405578,351507,54071,864505
23,420,district,bhind,urban,432922,232087,200835,58902,294882,138040,115190,104268,10922,317732
6,81,district,bhiwani,total,1634445,866672,767773,212011,1069871,564574,623006,430678,192328,1011439
6,81,district,bhiwani,rural,1313123,696212,616911,172608,840162,472961,526202,348863,177339,786921
6,81,district,bhiwani,urban,321322,170460,150862,39403,229709,91613,96804,81815,14989,224518
10,231,district,bhojpur,total,2728407,1430380,1298027,459187,1599151,1129256,822493,640283,182210,1905914
10,231,district,bhojpur,rural,2338546,1224274,1114272,402269,1339063,999483,722348,553520,168828,1616198
10,231,district,bhojpur,urban,389861,206106,183755,56918,260088,129773,100145,86763,13382,289716
23,444,district,bhopal,total,2371061,1236130,1134931,304713,1660690,710371,867457,644960,222497,1503604
23,444,district,bhopal,rural,454010,238025,215985,73163,254810,199200,194599,123042,71557,259411
23,444,district,bhopal,urban,1917051,998105,918946,231550,1405880,511171,672858,521918,150940,1244193
27,523,district,bid,total,2585049,1349106,1235943,352890,1718507,866542,1255548,727819,527729,1329501
27,523,district,bid,rural,2070751,1082978,987773,283628,1335589,735162,1086389,597389,489000,984362
27,523,district,bid,urban,514298,266128,248170,69262,382918,131380,169159,130430,38729,345139
29,558,district,bidar,total,1703300,870665,832635,224442,1042673,660627,702608,459050,243558,1000692
29,558,district,bidar,rural,1277348,651250,626098,168796,739711,537637,566299,353783,212516,711049
29,558,district,bidar,urban,425952,219415,206537,55646,302962,122990,136309,105267,31042,289643
10,0,state,bihar,total,104099452,54278157,49821295,19133964,52504553,51594899,34724987,25222189,9502798,69374465
10,0,state,bihar,rural,92341436,48073850,44267586,17383701,44812152,47529284,31359767,22436685,8923082,60981669
10,0,state,bihar,urban,11758016,6204307,5553709,1750263,7692401,4065615,3365220,2785504,579716,8392796
22,417,district,bijapur,total,255230,128663,126567,42495,86919,168311,134525,71591,62934,120705
22,417,district,bijapur,rural,225630,113344,112286,38329,68046,157584,123268,63597,59671,102362
22,417,district,bijapur,urban,29600,15319,14281,4166,18873,10727,11257,7994,3263,18343
29,557,district,bijapur,total,2177331,1111022,1066309,318406,1248268,929063,927722,580111,347611,1249609
29,557,district,bijapur,rural,1675353,857562,817791,251849,894132,781221,760560,454015,306545,914793
29,557,district,bijapur,urban,501978,253460,248518,66557,354136,147842,167162,126096,41066,334816
9,134,district,bijnor,total,3682713,1921215,1761498,564230,2135393,1547320,1088036,921497,166539,2594677
9,134,district,bijnor,rural,2757401,1438412,1318989,428311,1596174,1161227,827536,690602,136934,1929865
9,134,district,bijnor,urban,925312,482803,442509,135919,539219,386093,260500,230895,29605,664812
8,101,district,bikaner,total,2363937,1240801,1123136,400554,1278801,1085136,986208,640572,345636,1377729
8,101,district,bikaner,rural,1563553,821434,742119,292132,739204,824349,732055,424213,307842,831498
8,101,district,bikaner,urban,800384,419367,381017,108422,539597,260787,254153,216359,37794,546231
2,30,district,bilaspur,total,381956,192764,189192,41956,287620,94336,205871,111543,94328,176085
2,30,district,bilaspur,rural,356827,179653,177174,39501,266816,90011,195691,104537,91154,161136
2,30,district,bilaspur,urban,25129,13111,12018,2455,20804,4325,10180,7006,3174,14949
22,406,district,bilaspur,total,2663629,1351574,1312055,407835,1596560,1067069,1203197,715467,487730,1460432
22,406,district,bilaspur,rural,1983759,1002520,981239,322460,1095487,888272,963709,533034,430675,1020050
22,406,district,bilaspur,urban,679870,349054,330816,85375,501073,178797,239488,182433,57055,440382
19,334,district,birbhum,total,3502404,1790920,1711484,448485,2158447,1343957,1331603,1029770,301833,2170801
19,334,district,birbhum,rural,3052956,1561976,1490980,401237,1832366,1220590,1168491,901170,267321,1884465
19,334,district,birbhum,urban,449448,228944,220504,47248,326081,123367,163112,128600,34512,286336
14,275,district,bishnupur,total,237399,118782,118617,31303,156333,81066,109937,62807,47130,127462
14,275,district,bishnupur,rural,149894,75171,74723,20109,95558,54336,71758,40432,31326,78136
14,275,district,bishnupur,urban,87505,43611,43894,11194,60775,26730,38179,22375,15804,49326
